Species,X500_10,X500_3,X505_10,X505_3,X509_10,X509_3,X510_10,X510_3,X515_10,X515_3,X517_10,X517_3,X518_10,X518_3,X519_10,X519_3,X521_10,X521_3,X522_10,X522_3,X524_10,X524_3,X528_10,X528_3,X532_10,X532_3,X534_10,X534_3,X535_10,X535_3,X536_10,X536_3,X538_10,X538_3,X541_10,X541_3,X542_10,X542_3,X547_10,X547_3,X548_10,X548_3,X549_10,X549_3,X553_10,X553_3,X555_10,X555_3,X562_10,X562_3,X564_10,X564_3,X568_10,X568_3,X571_10,X571_3,X572_10,X572_3,X573_10,X573_3,X577_10,X577_3,X578_10,X578_3,X579_10,X579_3,X580_10,X580_3,X584_10,X584_3,X590_10,X590_3,X592_10,X592_3
Dysosmobacter_sp910584995,161.694,125.41,236.746,223.97,582.644,425.05,219.284,204.146,1446.902,218.946,1800.173,127.557,76.347,136.198,12866.154,107.685,1079.54,192.402,10938.968,933.094,235.705,339.112,57.98,68.941,247.057,194.832,922.957,114.927,444.54,217.025,439.762,526.148,397.438,244.773,257.057,67.778,644.091,862.444,153.484,299.478,273.844,311.874,125.377,153.637,257.662,188.459,2467.669,184.144,545.002,1645.015,618.815,1165.244,580.128,268.965,2151.595,662.563,529.954,671.864,863.221,1256.003,1504.044,631.436,3250.334,493.53,3201.674,1410.227,317.911,36.515,337.673,70.46,3475.764,322.111,1485.178,1070.608
Dysosmobacter_sp910588175,20624.966,1915.931,14342.072,15410.988,45837.434,24974.339,25570.671,9388.417,4633.146,5800.226,9394.292,2371.629,19250.909,14871.969,9958.102,6963.496,42725.369,47694.948,13465.095,6339.709,21793.809,31209.358,8777.524,12081.159,61160.492,9117.219,22599.43,8185.159,16096.95,7022.162,13697.415,19610.042,21673.573,20937.482,8104.206,5074.435,8554.454,15360.366,4554.992,6815.212,6888.448,5096.776,3511.348,11500.171,7706.639,6959.57,43780.596,8157.714,34865.073,16299.367,28576.861,15224.468,28784.386,21248.895,33532.326,39742.192,42879.664,10806.016,22542.057,24236.915,6346.64,9665.462,32411.134,12334.021,36713.752,4187.65,43746.546,3332.121,17950.269,4506.071,44752.657,5839.842,40255.481,9985.751
Enterenecus_sp,194418.946,47448.193,124730.433,97440.034,292983.078,174351.673,106594.372,47999.877,122956.103,68975.682,44579.599,42832.677,140658.786,78444.807,148794.324,95819.15,186066.117,103273.603,98123.112,75320.076,145500.099,193661.96,158931.459,131904.524,139768.644,51209.879,183846.486,72106.248,109713.648,66639.316,90770.858,178724.98,160381.14,162325.892,175194.37,4629.888,135559.484,213794.674,132818.004,83910.168,133172.408,101204.045,78462.335,101904.811,59550.472,91481.741,201428.443,104059.078,202052.578,203845.125,151185.339,190855.559,147337.03,49685.042,265817.722,204778.473,178804.795,189585.035,181594.818,257792.73,85808.731,153059.543,201913.81,8381.247,201283.26,98388.76,301616.266,49519.047,112605.007,86798.281,154519.96,36992.683,241149.583,84600.969
Enterenecus_sp910585265,166110.25,29492.202,27561.63,34710.543,153594.349,73470.171,22155.381,4587.904,49389.068,24242.698,19257.033,11309.068,48845.575,39073.787,68965.257,38531.716,96225.522,51001.5,47088.345,10635.035,50518.727,14259.437,43506.906,37681.521,44165.171,24710.358,62642.839,102596.691,17350.77,11580.264,77467.818,45974.652,37857.009,43882.493,67261.862,20750.667,51470.451,77780.071,50704.704,91350.73,57315.613,12356.343,26619.284,26946.19,15843.475,21618.296,59977.075,30074.893,98322.645,134414.987,56704.035,79797.911,21721.656,7791.077,150964.122,85764.18,63148.163,81059.64,65222.307,82455.728,33450.441,178928.748,68630.431,14942.382,147771.729,29289.61,146021.216,26748.613,31584.879,17581.056,49488.463,7292.621,99194.249,35125.273
Enterococcus_faecalis,57.304,38.248,86,567.636,29,7335.038,52.002,814.172,431.426,1055.683,591.249,1864.559,178.108,2032.024,14.256,972.726,57.389,852,31.126,1972.143,795.754,300.096,17,441,21,6895.3,15,803.376,112.682,2685.571,34.189,1542.165,85.474,298.248,322.587,1477.011,30.256,498.093,63.782,855.718,128.234,924.339,181.263,232.323,107.155,5815.96,516.778,2065.05,17,704,118.887,1662.434,54.233,2093.476,118.422,1675.646,33.122,345.001,90.998,428.407,167.743,240.673,451.486,971,173,5102.135,142.565,1033,1018.299,361.001,32.201,3156,39.022,7284
Enterorhabdus_sp009911695,48151.267,21524.767,34600.116,10833.226,25921.085,29469.731,20901.83,5688.372,32956.177,10841.411,29977.866,5717.819,35454.151,9455.09,8164.09,10493.745,12593.453,7714.614,23111.565,12143.713,20386.173,21197.486,27761.419,18218.178,16511.063,25932.837,18562.375,11911.586,20527.071,58249.365,12382.477,33862.388,22751.283,26302.68,44651.834,16874.855,20126.212,20407.14,33259.096,9612.577,37080.05,7103.232,32561.372,43993.405,34959.2,15556.465,31959.99,15034.567,12421.918,20947.764,47375.973,19865.359,14793.246,18980.501,22025.662,22680.677,23836.064,14795.701,12455.523,33884.877,49586.056,4942.061,18447.263,10159.447,24111.002,12207.877,33407.943,10051.558,25473.836,10971.567,28338.949,20922.923,11164.382,12000.147
Eubacterium_F_sp,217423.727,43908.096,125367.484,81530.131,135248.023,116321.532,139669.123,80370.06,66578.684,54120.763,118424.353,34313.524,141141.287,78559.289,122960.406,119167.197,140780.395,145289.847,107423.263,257597.136,116584.287,61361.175,107698.162,43980.248,86274.688,32159.232,103833.359,74201.341,96408.438,48797.235,130535.283,143329.104,135687.913,83471.833,147310.816,32374.036,134331.356,70620.103,93416.628,126423.586,130623.979,144561.937,70898.737,70027.475,59787.327,46222.022,153961.643,60087.022,137124.641,60807.335,89240.715,114044.515,135043.081,30885.453,165227.919,111869.235,159431.547,95508.522,93904.024,107914.588,75344.492,226530.963,98483.986,34062.918,138093.31,48709.624,190608.739,55309.977,128955.39,54723.57,91767.923,18905.416,185617.267,72628.004
Eubacterium_G_sp910574895,9738.596,1083.179,2986.578,3501.793,10067.31,27275.372,15268.993,8418.282,5673.428,4351.453,4271.607,2214.608,5983.821,3854.531,5610.1,3716.885,5419.722,5489.326,2032.536,5437.356,2359.401,2856.007,3902.117,3339.852,19862.998,1701.322,5229.412,1421.338,2918.193,9852.388,6593.247,4135.639,3418.918,3057.635,2969.808,6914.931,4139.429,5778.079,7392.791,9461.027,5561.424,3124.458,1699.835,3274.695,2461.79,2228.972,10287.444,2615.857,5158.955,3873.555,5742.099,3257.269,10585.17,7877.733,4905.845,2884.287,2506.304,2122.342,3405.625,3627.657,275063.881,18681.056,154182.309,196614.792,44799.662,96913.399,9071.327,8590.441,6821.196,9115.706,61087.284,66907.726,8826.71,141264.17
Eubacterium_J_sp,186618.882,28879.999,79386.47,130679.436,100997.792,115767.233,134363.929,85857.039,58505.747,71122.41,52422.347,116232.245,105340.748,205694.21,123537.563,178954.301,149273.94,286931.882,56013.1,112994.12,87601.632,61187.383,68089.463,150593.669,130051.619,38621.494,96758.863,108939.042,59439.084,28464.16,82632.989,62337.505,136694.436,59033.67,83309.291,99308.96,111145.594,99007.791,73865.967,145828.903,75516.574,130085.653,58246.154,46218.552,43563.719,27553.427,118851.18,46026.222,109511.012,46070.574,75656.824,64811.493,84885.889,205824.025,103133.131,51028.275,84122.633,59437.128,60772.606,51952.162,95180.184,316604.089,149566.915,40275.436,92011.676,69468.148,144968.65,60818.916,73387.898,61761.132,123504.09,80944.861,155966.78,128846.874
Eubacterium_J_sp910574915,115457.715,9708.404,237300.467,255528.137,250202.826,219240.975,18485.046,14575.721,417507.107,691565.076,99248.179,356010.048,30902.634,441684.922,221350.645,1366685.241,409978.829,99615.827,114438.387,125412.848,43646.526,11037.577,455147.186,222314.421,138536.803,19236.451,1098776.732,14732.508,120419.879,123978.008,786741.967,59512.994,156881.023,467250.461,605970.689,1765316.594,821408.299,533286.436,367308.649,106611.743,428983.45,250476.944,336645.102,22622.624,216829.068,25673.487,978759.377,22597.874,985309.555,759116.309,446587.334,1173340.535,515053.122,66049.886,377138.784,431867.76,359568.753,680638.275,99736.464,901844.934,471229.107,404986.32,1214048.22,29369.076,141567.852,437631.22,623909.706,926821.815,238891.93,1008570.574,35358.288,48432.972,392681.46,70024.51
